text,entity,entity_tag,entity_pos_start_rel,entity_pos_end_rel,category
проект участвовать рэп исполнитель видеооператор карина куча звукорежиссёр ксения абрамов роль алиенисткать ярослав клапрус роль молодой девушка жертва,звукорежиссёр,PROFESSION,64,77,0
"канал грибоедов , вид сторона спас кровь",грибоедов,PERSON,6,16,0
"жюри премия состоять литературовед , критик , представитель роспечать , московский государственный университет печать художник - иллюстратор .",критик,PROFESSION,40,48,0
"скульптура давид , изображать соперник голиаф библейский сюжет , создать итальянский художник микеланджело буонарротить 1501 — 1504 год .",давид,PERSON,11,17,0
"президент земан хотеть правительство коалиция , досрочный выборы .",президент,PROFESSION,0,9,0
"письмо , написать фридрих трумп 1905 год впервые опубликовать неделя немецкий журнал ' ' bild ' ' , адресовать принц - регент баварский луитпольд просьба позволить трамп остаться германия .",принц - регент баварский,PROFESSION,128,153,0
"предположительно штраф определить размер 4 , 3 тыс . доллар каждый баррель нефть , вытечь мексиканский залив .",мексиканский,COUNTRY,103,115,0
эннио моррикона написать музыка 400 американский европейский кинокартина телесериал .,американский,COUNTRY,49,61,0
чавес назначить преемник направиться куба лечить рак,чавес,PERSON,0,5,0
"подвижка политический система чехия дисбаланс власть , инициировать земан , мочь означать движение направление - модель , напоминать , существовать довоенный чехословакия .",чехословакия,COUNTRY,184,196,0
мид россия потребовать реакция сша сообщение хакерский атака .,мид,ORGANIZATION,0,3,0
"данный момент петиция change . org набрать 500 000 голос [ https : / / www . change . org / p / % d 0 % be % d 1 % 82 % d 0 % bc % d 0 % b 5 % d 0 % bd % d 0 % b 0 - % d 0 % bf % d 0 % b 0 % d 0 % ba % d 0 % b 5 % d 1 % 82 % d 0 % b 0 - % d 1 % 8 f % d 1 % 80 % d 0 % be % d 0 % b 2 % d 0 % be % d 0 % b 9 отменить « пакет яров » ] , сайт рой — 51 000 [ https : / / www . roi . ru / 28432 / отменить « закон яров » ] .",яров,PERSON,221,227,0
"ряд пополнить народный артист россия , сценарист кинорежиссёр владимир бортко звезда молодёжный сериал мария кожевников .",россия,COUNTRY,34,40,0
"глинка погибнуть 25 декабрь 2016 год крушение самолёт - 154 минобороны рф , ход гуманитарный поездка сирия .",сирия,COUNTRY,110,115,0
"конец война « голос америка » вещать 40 язык , программа состоять музыка , новость аналитический комментарий .",голос америка,ORGANIZATION,15,28,0
результат налёт погибнуть представитель афганский сила безопасность боевик талибан » .,представитель афганский сила безопасность,PROFESSION,29,69,0
"« весь наш долгий карьера довестись играть многий интересный место , это шоу гавана стать важный событие , надеяться , наш кубинский друг » , — это отметить заявление группа , опубликовать прибытие музыкант куба .",куба,COUNTRY,272,276,0
соавтор rss сооснователь reddit аарон шварц покончить,аарон шварц,PERSON,34,45,0
"гражданский демократ надеяться , непартийный правительство голосование чешский парламент получить необходимый поддержка 101 голос депутат , президент вынудить обратиться создание правительство вновь ods .",президент,PROFESSION,173,182,0
"лауреат категория « артист год » , « хороший автор песня » « прорыв год » определять команда редактор apple music , который входить музыкальный критика знаменитость .",артист,PROFESSION,24,30,0
