Sentence,Aspect Term,polarity
"Great battery, speed, display.",speed,positive
 Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.,warrenty,negative
It gives me the power and speed that I need to run all the programs I use to edit.,programs,neutral
This is not a serious gaming laptop or a serious media machine;,gaming,negative
Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd,negative
EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED (THIS IS UNLIKELY AS I AM A SLOW TYPIST) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED.,KEYBOARD,negative
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,positive
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",lighted keyboard,positive
"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).",portability,positive
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Bluetooth,negative
"The screen is huge and coloful, but no LED backlighting.",screen,positive
Windows is also rather unsteady on its feet and is susceptible to many bugs.,Windows,negative
the programs are esay to use and are quick to process this computer works like a charm.,programs,positive
Many kinds of software that is necessary to the working person is not available and cannot be downloaded.,software,negative
After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,battery,negative
  They replaced my hard drive as well as my mother board.,mother board,neutral
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Launch Manager,neutral
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,processor,negative
I especially like the keyboard which has chiclet type keys.,keys,positive
I love the operating system and the preloaded software.,preloaded software,positive
"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.",word processor,negative
"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.",graphics,neutral
  Again I sent it back and they replaced the motherboard and some fan inside.,motherboard,neutral
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",programs,positive
I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,Intel Core processors,neutral
"Great laptop for school, easy to use for beginners in the household.",use,positive
The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,book,negative
"  It is easy to use, fast and has great graphics for the money.",use,positive
The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.,extended warranty,neutral
Oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good.,word processer,positive
"We love the size of the screen, although it is still lightweight and very easy to tote around.",tote,positive
", Applications respond immediately (not like the tired MS applications).",Applications,positive
"My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.",power supply cord,negative
"THEN, one month after the warranty expired, the replacement charger went.",replacement charger,negative
"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",support,positive
"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",programs,neutral
and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,negative
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",video,negative
"The Mac takes about the same amount of starting-up time as the average PC, but keeps itself cleaned up and ready to use.",starting-up time,positive
"The speed difference is next to NOTHING for a mac, and the hard drive can be manually upgraded or you could just buy a $60 500gb external hard drive.",500gb external hard drive,neutral
My laptop now has no battery.,battery,negative
Hard disk - The new editions gives you more hard disk space (500GB instead of 320GB) but time has taught me never to trust an internal hard disk.,Hard disk,neutral
"Wireless has not been a issue for me, like some others have meantioned.",Wireless,positive
And the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.,surf the web,positive
"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",carry,positive
"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.",applications,positive
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,positive
It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,negative
Which is great I am running Vista Business and scored a 5.X on the index I have never seen a windows machine have a total score in the 5's.,Vista Business,positive
It was truly a great computer costing less than one thousand bucks before tax.,costing,positive
"Thus, when you carry it at a slanted angle, the screen will ""topple"" or ""slide"" down, if you understand what I mean.",screen,negative
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",battery life,positive
"But, buy this model and just purchase 4GB of RAM (2x2GB for $92 or 1x4GB for $99), and save yourself $100 than the other model with 8GB of RAM.",8GB of RAM,neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",applications,neutral
"It is fast booting up , shutting down, and connection with the internet.",booting up,positive
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",music software,negative
It is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on PC's.,virus protection,positive
"With what I do know how to do, the computer works beautiful.",works,positive
"First, it does not have a push button to open the lid.",lid,neutral
But the biggest pain is that tech support is not available 24/7.,tech support,negative
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software packages,positive
"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.",built,positive
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive
It weighed like seven pounds or something like that.,weighed,neutral
Very fast boot up and shut down.,boot up,positive
I did not have to call the support line at all.,support line,neutral
Has a 5-6 hour battery life.,battery life,neutral
"My Toshiba did not have sound on everything, just certain things.",sound,negative
I also did not like the loud noises it made or how the bottom of the computer would get really hot.,bottom of the computer,negative
"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Value,negative
EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED (THIS IS UNLIKELY AS I AM A SLOW TYPIST) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED.,KEYS,negative
The service I received from Toshiba went above and beyond the call of duty.,service,positive
"I dislike the weight and size, cubersome.",weight,negative
"Also, the extended warranty was a problem.",extended warranty,negative
"Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get everything done.",screen,positive
My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,screen/video resolution,negative
It was hard to handle and operate at school.,handle,negative
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",web browsing,positive
Can listen to my music and watch my videos with ease and with a great display.,display,positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iTunes,positive
The only thing i can say is that the touch pad doesnt work like it should all the time.,touch pad,negative
The screen is bright and the keyboard is nice;,keyboard,positive
"I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.",screen,negative
I should have checked this before I installed my applications.,applications,neutral
"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",screen,positive
" I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!",hard drive,negative
"Even with virus protection, it always turned off when updates were needed and installed.",virus protection,negative
The LED backlit display makes my pictures pop so much more.,LED backlit display,positive
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",Vista,neutral
It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,operate,positive
"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,positive
"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",track pad,positive
"It's applications are terrific, including the replacements for Microsoft office.",applications,positive
The mousepad is a huge pain in the arse!,mousepad,negative
I looked around and based off my price/features comparison from a brand I trusted I landed here.,features,neutral
So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.,AC plug,negative
It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,navigation,positive
"Great product, very easy to use and great graphics.",use,positive
  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).,manuf,negative
"Also, my sister got the exact same laptop (since they were so cheap) and after 8 months, the screen split in half just from everyday use.",screen,negative
"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",performance,positive
The next time I had an issue my lightscribe wouldn't work.,lightscribe,negative
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,positive
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,negative
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",spreadsheets,neutral
"Browsing, also, was no problem for me when I used itunes ( which usually slows down my PC ).",Browsing,positive
"I saw walmart had the same computer for about $650 but still knowing what I know now,I would not buy it at that price.",price,negative
(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.),CPU,neutral
"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.",look,positive
The feel of this machine compared to the old MacBook is far superior.,feel,positive
The built in camera is very useful when chatting with other techs in remote buildings on our campus.,built in camera,positive
If you want more information on macs I suggest going to apple.com and heading towards the macbook page for more information on the applications.,applications,neutral
